phase,model_config,condition,unit_id,run_id,source_ref,task_success,effect_count,receipt_count
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s01-r1,run-c237cfdca6c6d99c8469564f,datasets/t17-v2/stages/h/core-trials.jsonl#L196,True,7,7
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s01-r2,run-fc93756ec442887ef2aba3c5,datasets/t17-v2/stages/h/core-trials.jsonl#L197,False,2,2
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s01-r3,run-3d148e9b21a5f7d216aa4a4b,datasets/t17-v2/stages/h/core-trials.jsonl#L198,True,7,7
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s02-r1,run-e81d26f0ef51b0755e2f6a0b,datasets/t17-v2/stages/h/core-trials.jsonl#L199,False,2,2
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s02-r2,run-a934e95b07f60724c301712b,datasets/t17-v2/stages/h/core-trials.jsonl#L200,False,0,0
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s02-r3,run-7526a1d72024c4d0c7a8f25b,datasets/t17-v2/stages/h/core-trials.jsonl#L201,False,0,0
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s03-r1,run-ef4bd9aa57668810b5905ea6,datasets/t17-v2/stages/h/core-trials.jsonl#L202,True,6,6
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s03-r2,run-adf822829b83fc4148cc5e79,datasets/t17-v2/stages/h/core-trials.jsonl#L203,True,7,7
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s03-r3,run-38e9ab9274ecd14314b31ea2,datasets/t17-v2/stages/h/core-trials.jsonl#L204,True,7,7
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s04-r1,run-dd06173663daf12999ec2cd0,datasets/t17-v2/stages/h/core-trials.jsonl#L205,True,6,6
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s04-r2,run-14ea0df1bf363f01950a5f20,datasets/t17-v2/stages/h/core-trials.jsonl#L206,True,7,7
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s04-r3,run-15f24b0f120b879bef73f19a,datasets/t17-v2/stages/h/core-trials.jsonl#L207,True,6,6
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s05-r1,run-777a79f6ac8b8da6c6078ba2,datasets/t17-v2/stages/h/core-trials.jsonl#L208,True,6,6
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s05-r2,run-22ae7a6fde17ee937fe13797,datasets/t17-v2/stages/h/core-trials.jsonl#L209,False,0,0
h,gpt-5.6-luna,m2-target-revoked-defense-enforce,t17-live-reference-v2-defense-m2-target-revoked-defense-enforce-s05-r3,run-c28c2c538c9e86bc377e77aa,datasets/t17-v2/stages/h/core-trials.jsonl#L210,True,6,6
