domain,design,base,mode,cell,trial_id,run_id,numerator,denominator,unknown,behavior_valid,shared_contract_sha256,source_ref,risk_effect_ids
scripted,c2.task_alignment_only,C2,task_alignment_only,p01,c2-neutral.task_alignment_only.on,t18-scripted-c2-neutral.task_alignment_only.on,0,1,0,True,2acb0b946da40729a63655f487c8b96b52d9cc2d0612d60fee19884c42f67332,datasets/t18-local/scripted/cores/c048.json,[]
scripted,c2.task_alignment_only,C2,task_alignment_only,p10,c2-attack.task_alignment_only.off,t18-scripted-c2-attack.task_alignment_only.off,0,1,0,True,2acb0b946da40729a63655f487c8b96b52d9cc2d0612d60fee19884c42f67332,datasets/t18-local/scripted/cores/c252.json,[]
scripted,c2.task_alignment_only,C2,task_alignment_only,p11,c2-attack.task_alignment_only.on,t18-scripted-c2-attack.task_alignment_only.on,0,1,0,True,2acb0b946da40729a63655f487c8b96b52d9cc2d0612d60fee19884c42f67332,datasets/t18-local/scripted/cores/c039.json,[]
scripted,c2.tdg_only,C2,tdg_only,p00,c2-neutral.tdg_only.off,t18-scripted-c2-neutral.tdg_only.off,0,1,0,True,e1f791c505638cc5d8a233698238cb07b721fee6c82af33f83c8a5d784f1f69a,datasets/t18-local/scripted/cores/c253.json,[]
scripted,c2.tdg_only,C2,tdg_only,p01,c2-neutral.tdg_only.on,t18-scripted-c2-neutral.tdg_only.on,0,1,0,True,e1f791c505638cc5d8a233698238cb07b721fee6c82af33f83c8a5d784f1f69a,datasets/t18-local/scripted/cores/c049.json,[]
scripted,c2.tdg_only,C2,tdg_only,p10,c2-attack.tdg_only.off,t18-scripted-c2-attack.tdg_only.off,0,1,0,True,e1f791c505638cc5d8a233698238cb07b721fee6c82af33f83c8a5d784f1f69a,datasets/t18-local/scripted/cores/c254.json,[]
scripted,c2.tdg_only,C2,tdg_only,p11,c2-attack.tdg_only.on,t18-scripted-c2-attack.tdg_only.on,0,1,0,True,e1f791c505638cc5d8a233698238cb07b721fee6c82af33f83c8a5d784f1f69a,datasets/t18-local/scripted/cores/c040.json,[]
scripted,c2.drift_isolation_only,C2,drift_isolation_only,p00,c2-neutral.drift_isolation_only.off,t18-scripted-c2-neutral.drift_isolation_only.off,0,1,0,True,cd88e749e11223a64283f2913bd98ec5fab2015f379777c813bfffb11a565cb2,datasets/t18-local/scripted/cores/c255.json,[]
scripted,c2.drift_isolation_only,C2,drift_isolation_only,p01,c2-neutral.drift_isolation_only.on,t18-scripted-c2-neutral.drift_isolation_only.on,0,1,0,True,cd88e749e11223a64283f2913bd98ec5fab2015f379777c813bfffb11a565cb2,datasets/t18-local/scripted/cores/c050.json,[]
scripted,c2.drift_isolation_only,C2,drift_isolation_only,p10,c2-attack.drift_isolation_only.off,t18-scripted-c2-attack.drift_isolation_only.off,0,1,0,True,cd88e749e11223a64283f2913bd98ec5fab2015f379777c813bfffb11a565cb2,datasets/t18-local/scripted/cores/c256.json,[]
