split,mechanism,metric,policy,budget,measure,old,corrected,difference
development,ALL,ALL,dependency_guided,72267,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,72267,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,72267,full_state_agreement,0.6140873015873016,0.6160714285714286,0.001984126984126977
development,ALL,ALL,dependency_guided,72267,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,72267,mean_charged_bytes_feasible,64464.495488210254,64423.33555791914,-41.15993029111269
development,ALL,ALL,dependency_guided,72267,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,72267,mean_visible_json_bytes,2200.02876984127,2198.3166335978835,-1.7121362433863396
development,ALL,ALL,dependency_guided,72267,mean_acquired_channels,7.758101851851852,7.753637566137566,-0.004464285714286476
development,ALL,ALL,dependency_guided,72267,mean_evidence_fields,46.964285714285715,46.908730158730165,-0.05555555555555003
development,ALL,ALL,dependency_guided,72267,mean_evidence_events,0.8404431216931217,0.8404431216931217,0.0
development,ALL,ALL,dependency_guided,73290,correct_point_coverage,0.7777777777777778,0.7782738095238095,0.0004960317460317443
development,ALL,ALL,dependency_guided,73290,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,73290,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,73290,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,73290,point_coverage,0.6868386243386244,0.6873346560846562,0.0004960317460317443
development,ALL,ALL,dependency_guided,73290,unknown_rate,0.27546296296296297,0.2749669312169312,-0.0004960317460317443
development,ALL,ALL,dependency_guided,73290,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,73290,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,73290,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,73290,infeasible_rate,0.037698412698412696,0.037698412698412696,0.0
development,ALL,ALL,dependency_guided,73290,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,73290,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,73290,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,73290,full_state_agreement,0.7979497354497355,0.7984457671957672,0.0004960317460317443
development,ALL,ALL,dependency_guided,73290,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,73290,mean_charged_bytes_feasible,66111.77366707366,66061.52702482702,-50.24664224663866
development,ALL,ALL,dependency_guided,73290,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,73290,mean_visible_json_bytes,2202.9293981481483,2200.277777777778,-2.6516203703704377
development,ALL,ALL,dependency_guided,73290,mean_acquired_channels,7.758101851851852,7.753637566137566,-0.004464285714286476
development,ALL,ALL,dependency_guided,73290,mean_evidence_fields,47.01951058201058,46.945601851851855,-0.07390873015872756
development,ALL,ALL,dependency_guided,73290,mean_evidence_events,0.8407738095238095,0.8407738095238095,0.0
development,ALL,ALL,dependency_guided,76363,correct_point_coverage,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,76363,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,76363,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,76363,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,76363,point_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,76363,unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,76363,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,76363,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,76363,error_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,76363,infeasible_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,76363,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,dependency_guided,76363,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,dependency_guided,76363,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,dependency_guided,76363,full_state_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,76363,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,dependency_guided,76363,mean_charged_bytes_feasible,69353.66931216931,69302.87566137566,-50.793650793653796
development,ALL,ALL,dependency_guided,76363,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,dependency_guided,76363,mean_visible_json_bytes,2301.7559523809523,2299.059689153439,-2.6962632275131
development,ALL,ALL,dependency_guided,76363,mean_acquired_channels,8.033068783068783,8.028108465608465,-0.004960317460318109
development,ALL,ALL,dependency_guided,76363,mean_evidence_fields,49.195767195767196,49.12136243386243,-0.0744047619047663
development,ALL,ALL,dependency_guided,76363,mean_evidence_events,0.8802910052910053,0.8802910052910053,0.0
development,ALL,ALL,global_fixed,0,correct_point_coverage,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,selective_error_rate,,,
development,ALL,ALL,global_fixed,0,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,point_coverage,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,unknown_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,error_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,infeasible_rate,1.0,1.0,0.0
development,ALL,ALL,global_fixed,0,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,global_fixed,0,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,global_fixed,0,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,full_state_agreement,0.0,0.0,0.0
development,ALL,ALL,global_fixed,0,full_point_agreement,,,
development,ALL,ALL,global_fixed,0,mean_charged_bytes_feasible,,,
development,ALL,ALL,global_fixed,0,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,global_fixed,0,mean_visible_json_bytes,2081.8799603174602,2081.8799603174602,0.0
development,ALL,ALL,global_fixed,0,mean_acquired_channels,7.470238095238095,7.470238095238095,0.0
development,ALL,ALL,global_fixed,0,mean_evidence_fields,44.37698412698413,44.37698412698413,0.0
development,ALL,ALL,global_fixed,0,mean_evidence_events,0.8115079365079365,0.8115079365079365,0.0
development,ALL,ALL,global_fixed,39499,correct_point_coverage,0.003472222222222222,0.003472222222222222,0.0
development,ALL,ALL,global_fixed,39499,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,39499,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,39499,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,39499,point_coverage,0.0033068783068783067,0.0033068783068783067,0.0
development,ALL,ALL,global_fixed,39499,unknown_rate,0.053240740740740734,0.053240740740740734,0.0
development,ALL,ALL,global_fixed,39499,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,39499,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,39499,error_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,39499,infeasible_rate,0.9434523809523809,0.9434523809523809,0.0
development,ALL,ALL,global_fixed,39499,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,global_fixed,39499,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,global_fixed,39499,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,39499,full_state_agreement,0.00992063492063492,0.00992063492063492,0.0
development,ALL,ALL,global_fixed,39499,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,global_fixed,39499,mean_charged_bytes_feasible,37690.7463980464,37690.7463980464,0.0
development,ALL,ALL,global_fixed,39499,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,global_fixed,39499,mean_visible_json_bytes,2090.0257936507937,2090.0257936507937,0.0
development,ALL,ALL,global_fixed,39499,mean_acquired_channels,7.53207671957672,7.53207671957672,0.0
development,ALL,ALL,global_fixed,39499,mean_evidence_fields,44.55257936507937,44.55257936507937,0.0
development,ALL,ALL,global_fixed,39499,mean_evidence_events,0.8174603174603174,0.8174603174603174,0.0
development,ALL,ALL,global_fixed,50761,correct_point_coverage,0.020833333333333332,0.020833333333333332,0.0
development,ALL,ALL,global_fixed,50761,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,50761,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,50761,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,50761,point_coverage,0.019014550264550265,0.019014550264550265,0.0
development,ALL,ALL,global_fixed,50761,unknown_rate,0.10300925925925924,0.10300925925925924,0.0
development,ALL,ALL,global_fixed,50761,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,50761,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,50761,error_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,50761,infeasible_rate,0.8779761904761905,0.8779761904761905,0.0
development,ALL,ALL,global_fixed,50761,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,global_fixed,50761,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,global_fixed,50761,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,50761,full_state_agreement,0.03224206349206349,0.03224206349206349,0.0
development,ALL,ALL,global_fixed,50761,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,global_fixed,50761,mean_charged_bytes_feasible,46693.14245352072,46693.14245352072,0.0
development,ALL,ALL,global_fixed,50761,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,global_fixed,50761,mean_visible_json_bytes,2109.1498015873017,2109.1498015873017,0.0
development,ALL,ALL,global_fixed,50761,mean_acquired_channels,7.620701058201059,7.620701058201059,0.0
development,ALL,ALL,global_fixed,50761,mean_evidence_fields,45.00016534391535,45.00016534391535,0.0
development,ALL,ALL,global_fixed,50761,mean_evidence_events,0.8334986772486772,0.8334986772486772,0.0
development,ALL,ALL,global_fixed,58954,correct_point_coverage,0.060019841269841265,0.060019841269841265,0.0
development,ALL,ALL,global_fixed,58954,wrong_point_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,58954,selective_error_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,58954,wrong_safe_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,58954,point_coverage,0.05423280423280423,0.05423280423280423,0.0
development,ALL,ALL,global_fixed,58954,unknown_rate,0.17294973544973546,0.17294973544973546,0.0
development,ALL,ALL,global_fixed,58954,bounded_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,58954,not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,58954,error_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,58954,infeasible_rate,0.7728174603174603,0.7728174603174603,0.0
development,ALL,ALL,global_fixed,58954,reference_coverage,0.8888888888888888,0.8888888888888888,0.0
development,ALL,ALL,global_fixed,58954,reference_unknown_rate,0.1111111111111111,0.1111111111111111,0.0
development,ALL,ALL,global_fixed,58954,reference_not_applicable_rate,0.0,0.0,0.0
development,ALL,ALL,global_fixed,58954,full_state_agreement,0.08002645502645503,0.08002645502645503,0.0
development,ALL,ALL,global_fixed,58954,full_point_agreement,1.0,1.0,0.0
development,ALL,ALL,global_fixed,58954,mean_charged_bytes_feasible,52774.64422114422,52774.64422114422,0.0
development,ALL,ALL,global_fixed,58954,mean_initial_bytes,63089.119047619046,63089.119047619046,0.0
development,ALL,ALL,global_fixed,58954,mean_visible_json_bytes,2128.727843915344,2128.727843915344,0.0
development,ALL,ALL,global_fixed,58954,mean_acquired_channels,7.698743386243386,7.698743386243386,0.0
development,ALL,ALL,global_fixed,58954,mean_evidence_fields,45.46114417989418,45.46114417989418,0.0
development,ALL,ALL,global_fixed,58954,mean_evidence_events,0.8463955026455027,0.8463955026455027,0.0
development,ALL,ALL,global_fixed,62026,correct_point_coverage,0.12996031746031747,0.12996031746031747,0.0
development,ALL,ALL,global_fixed,62026,wrong_point_rate,0.0,0.0,0.0
