condition,policy,seed,budget,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
all_nine_missing,random,19105,2,235,235,36,9,3,0.01276595744680851,37,0.7574468085106383,195,0.8297872340425532,0,3,1.0,0.3404255319148936,0,128,3,3,0.0234375,1.0,229,0.777292576419214,1.0,1.6893617021276597,1379.6
all_nine_missing,random,19105,3,235,235,36,9,11,0.04680851063829787,40,0.7829787234042553,184,0.7829787234042553,0,11,1.0,0.39148936170212767,0,128,11,11,0.0859375,1.0,229,0.8034934497816594,1.0,2.519148936170213,2305.0851063829787
all_nine_missing,random,19105,4,235,235,36,9,20,0.0851063829787234,45,0.8170212765957446,170,0.723404255319149,0,20,1.0,0.4553191489361702,0,128,20,20,0.15625,1.0,229,0.8384279475982532,1.0,3.302127659574468,3373.9702127659575
all_nine_missing,random,19105,5,235,235,36,9,36,0.15319148936170213,49,0.8382978723404255,150,0.6382978723404256,0,36,1.0,0.5404255319148936,0,128,36,36,0.28125,1.0,229,0.8602620087336245,1.0,4.025531914893617,4371.340425531915
all_nine_missing,random,19105,6,235,235,36,9,55,0.23404255319148937,53,0.8765957446808511,127,0.5404255319148936,0,55,1.0,0.6468085106382979,0,128,55,55,0.4296875,1.0,229,0.8995633187772926,1.0,4.663829787234042,5037.068085106383
all_nine_missing,random,19105,7,235,235,36,9,72,0.30638297872340425,54,0.8936170212765957,109,0.46382978723404256,0,72,1.0,0.723404255319149,0,128,72,72,0.5625,1.0,229,0.9170305676855895,1.0,5.2042553191489365,5578.229787234042
all_nine_missing,random,19105,8,235,235,36,9,92,0.39148936170212767,59,0.9276595744680851,84,0.3574468085106383,0,92,1.0,0.8340425531914893,0,128,92,92,0.71875,1.0,229,0.9519650655021834,1.0,5.6680851063829785,6261.502127659574
all_nine_missing,random,19105,9,235,235,36,9,126,0.5361702127659574,64,0.948936170212766,45,0.19148936170212766,0,126,1.0,1.0,0,128,126,126,0.984375,1.0,229,0.9737991266375546,1.0,6.025531914893617,6871.097872340426
all_nine_missing,random,19106,0,235,235,36,9,0,0.0,36,0.7276595744680852,199,0.8468085106382979,0,0,,0.3191489361702128,0,128,0,0,0.0,,229,0.7467248908296943,1.0,0,0
all_nine_missing,random,19106,1,235,235,36,9,1,0.00425531914893617,40,0.7446808510638298,194,0.825531914893617,0,1,1.0,0.3404255319148936,0,128,1,1,0.0078125,1.0,229,0.7641921397379913,1.0,0.8468085106382979,803.8468085106383
