condition,policy,seed,budget,metric,domain,n_query_observations,unique_queries,unique_registry_units,explicit_construct_families,point_count,point_coverage,not_applicable_count,eligibility_coverage,unknown_count,unknown_rate,analysis_errors,full_point_pairs,full_point_agreement,full_state_agreement,point_not_supported_by_full,independent_truth_n,independent_answered_n,independent_correct_n,independent_truth_coverage,independent_selective_accuracy,independent_eligibility_n,independent_eligibility_coverage,independent_eligibility_accuracy,mean_acquired_families,mean_added_json_bytes
all_nine_missing,random,19107,4,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,0,0.0,7,0.4166666666666667,17,0.7083333333333334,0,0,,0.5416666666666666,0,8,0,0,0.0,,18,0.5555555555555556,1.0,3.0833333333333335,6594.625
all_nine_missing,random,19107,4,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,5,0.1388888888888889,0,1.0,31,0.8611111111111112,0,5,1.0,0.8888888888888888,0,9,5,5,0.5555555555555556,1.0,36,1.0,1.0,3.75,1862.0833333333333
all_nine_missing,random,19107,4,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,13,0.13131313131313133,0,1.0,86,0.8686868686868687,0,13,1.0,0.13131313131313133,0,99,13,13,0.13131313131313133,1.0,99,1.0,1.0,3.919191919191919,3933.686868686869
all_nine_missing,random,19107,5,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,3,0.039473684210526314,43,0.6973684210526315,30,0.39473684210526316,0,3,1.0,0.75,0,12,3,3,0.25,1.0,76,0.6973684210526315,1.0,2.473684210526316,2432.7236842105262
all_nine_missing,random,19107,5,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,1,0.041666666666666664,8,0.5416666666666666,15,0.625,0,1,1.0,0.625,0,8,1,1,0.125,1.0,18,0.7222222222222222,1.0,3.7916666666666665,9780.625
all_nine_missing,random,19107,5,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,6,0.16666666666666666,0,1.0,30,0.8333333333333334,0,6,1.0,0.9166666666666666,0,9,6,6,0.6666666666666666,1.0,36,1.0,1.0,4.611111111111111,2417.1666666666665
all_nine_missing,random,19107,5,UEA,CONTROLLED_CONSTRUCT,99,99,32,8,22,0.2222222222222222,0,1.0,77,0.7777777777777778,0,22,1.0,0.2222222222222222,0,99,22,22,0.2222222222222222,1.0,99,1.0,1.0,4.787878787878788,4702.878787878788
all_nine_missing,random,19107,6,ALR,CONTROLLED_CONSTRUCT,76,76,36,9,4,0.05263157894736842,44,0.7236842105263158,28,0.3684210526315789,0,4,1.0,0.7763157894736842,0,12,4,4,0.3333333333333333,1.0,76,0.7236842105263158,1.0,2.8684210526315788,2663.092105263158
all_nine_missing,random,19107,6,RIR,CONTROLLED_CONSTRUCT,24,24,4,4,2,0.08333333333333333,9,0.5833333333333334,13,0.5416666666666666,0,2,1.0,0.7083333333333334,0,8,2,2,0.25,1.0,18,0.7777777777777778,1.0,4.416666666666667,11511.75
all_nine_missing,random,19107,6,TaskSuccess,CONTROLLED_CONSTRUCT,36,36,36,9,6,0.16666666666666666,0,1.0,30,0.8333333333333334,0,6,1.0,0.9166666666666666,0,9,6,6,0.6666666666666666,1.0,36,1.0,1.0,5.444444444444445,2667.3333333333335
