split,family_id,mechanism,metric,policy,budget,observations,oracle_point,oracle_unknown,oracle_not_applicable,point,bounded,unknown,not_applicable,error,infeasible,answered_oracle_point,correct_point,wrong_point,wrong_safe,full_comparable,full_agree,full_point_comparable,full_point_agree,feasible,charged_total_bytes,initial_bytes,visible_json_bytes,acquired_channels,evidence_fields,evidence_events,correct_point_coverage,wrong_point_rate,selective_error_rate,wrong_safe_rate,point_coverage,unknown_rate,bounded_rate,not_applicable_rate,error_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate,full_state_agreement,full_point_agreement,mean_charged_bytes_feasible,mean_initial_bytes,mean_visible_json_bytes,mean_acquired_channels,mean_evidence_fields,mean_evidence_events,query_count,unit_count,averaged_query_conditions
heldout,H04_sql_join_export,ALL,UEA,global_fixed,73290,56.0,56.0,0.0,0.0,28.0,0.0,15.333333333333334,0.0,0.0,12.666666666666666,28.0,28.0,0.0,0.0,56.0,28.0,28.0,28.0,43.333333333333336,2805596.6666666665,3560552.0,125074.33333333333,440.0,2491.3333333333335,51.333333333333336,0.5,0.0,0.0,0.0,0.5,0.27380952380952384,0.0,0.0,0.0,0.2261904761904762,1.0,0.0,0.0,0.5,1.0,64744.538461538454,63581.28571428572,2233.470238095238,7.857142857142857,44.48809523809524,0.9166666666666667,4,4,56
heldout,H04_sql_join_export,ALL,UEA,global_fixed,76363,56.0,56.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,56.0,56.0,56.0,56.0,56.0,3889597.3333333335,3560552.0,131042.33333333333,455.0,2611.6666666666665,55.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,69457.09523809524,63581.28571428572,2340.0416666666665,8.125,46.63690476190476,0.9821428571428571,4,4,56
heldout,H04_sql_join_export,ALL,UEA,metric_static,0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,3560552.0,119620.0,420.0,2377.6666666666665,48.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,63581.28571428572,2136.0714285714284,7.5,42.45833333333333,0.8571428571428571,4,4,56
heldout,H04_sql_join_export,ALL,UEA,metric_static,39499,56.0,56.0,0.0,0.0,0.3333333333333333,0.0,3.0,0.0,0.0,52.666666666666664,0.3333333333333333,0.3333333333333333,0.0,0.0,56.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.333333333333333,124495.33333333334,3560552.0,119988.66666666667,422.0,2384.0,48.666666666666664,0.005952380952380952,0.0,0.0,0.0,0.005952380952380952,0.05357142857142857,0.0,0.0,0.0,0.9404761904761905,1.0,0.0,0.0,0.005952380952380952,1.0,37348.600000000006,63581.28571428572,2142.654761904762,7.535714285714286,42.57142857142857,0.869047619047619,4,4,56
heldout,H04_sql_join_export,ALL,UEA,metric_static,50761,56.0,56.0,0.0,0.0,1.3333333333333333,0.0,4.333333333333333,0.0,0.0,50.333333333333336,1.3333333333333333,1.3333333333333333,0.0,0.0,56.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,5.666666666666667,267859.6666666667,3560552.0,121137.66666666667,427.3333333333333,2411.3333333333335,50.0,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.07738095238095237,0.0,0.0,0.0,0.8988095238095238,1.0,0.0,0.0,0.023809523809523808,1.0,47269.35294117647,63581.28571428572,2163.1726190476193,7.6309523809523805,43.05952380952381,0.8928571428571429,4,4,56
heldout,H04_sql_join_export,ALL,UEA,metric_static,58954,56.0,56.0,0.0,0.0,5.333333333333333,0.0,5.333333333333333,0.0,0.0,45.333333333333336,5.333333333333333,5.333333333333333,0.0,0.0,56.0,5.333333333333333,5.333333333333333,5.333333333333333,10.666666666666666,559904.0,3560552.0,122490.0,429.3333333333333,2442.6666666666665,50.666666666666664,0.09523809523809523,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.8095238095238095,1.0,0.0,0.0,0.09523809523809523,1.0,52491.0,63581.28571428572,2187.3214285714284,7.666666666666666,43.61904761904761,0.9047619047619048,4,4,56
heldout,H04_sql_join_export,ALL,UEA,metric_static,62026,56.0,56.0,0.0,0.0,12.333333333333334,0.0,4.666666666666666,0.0,0.0,39.0,12.333333333333334,12.333333333333334,0.0,0.0,56.0,12.333333333333334,12.333333333333334,12.333333333333334,17.0,959227.0,3560552.0,123108.33333333333,430.3333333333333,2453.0,51.0,0.22023809523809526,0.0,0.0,0.0,0.22023809523809526,0.08333333333333333,0.0,0.0,0.0,0.6964285714285714,1.0,0.0,0.0,0.22023809523809526,1.0,56425.117647058825,63581.28571428572,2198.363095238095,7.684523809523809,43.80357142857143,0.9107142857142857,4,4,56
heldout,H04_sql_join_export,ALL,UEA,metric_static,66121,56.0,56.0,0.0,0.0,16.666666666666668,0.0,9.333333333333334,0.0,0.0,30.0,16.666666666666668,16.666666666666668,0.0,0.0,56.0,16.666666666666668,16.666666666666668,16.666666666666668,26.0,1565256.6666666667,3560552.0,124749.66666666667,434.3333333333333,2491.0,51.333333333333336,0.2976190476190476,0.0,0.0,0.0,0.2976190476190476,0.16666666666666669,0.0,0.0,0.0,0.5357142857142857,1.0,0.0,0.0,0.2976190476190476,1.0,60202.17948717949,63581.28571428572,2227.6726190476193,7.7559523809523805,44.482142857142854,0.9166666666666667,4,4,56
heldout,H04_sql_join_export,ALL,UEA,metric_static,72264,56.0,56.0,0.0,0.0,27.0,0.0,7.333333333333333,0.0,0.0,21.666666666666668,27.0,27.0,0.0,0.0,56.0,27.0,27.0,27.0,34.333333333333336,2133689.6666666665,3560552.0,125299.0,434.0,2501.0,51.333333333333336,0.48214285714285715,0.0,0.0,0.0,0.48214285714285715,0.13095238095238096,0.0,0.0,0.0,0.3869047619047619,1.0,0.0,0.0,0.48214285714285715,1.0,62146.30097087378,63581.28571428572,2237.4821428571427,7.75,44.660714285714285,0.9166666666666667,4,4,56
heldout,H04_sql_join_export,ALL,UEA,metric_static,72267,56.0,56.0,0.0,0.0,32.333333333333336,0.0,11.0,0.0,0.0,12.666666666666666,32.333333333333336,32.333333333333336,0.0,0.0,56.0,32.333333333333336,32.333333333333336,32.333333333333336,43.333333333333336,2785116.6666666665,3560552.0,125322.0,434.3333333333333,2501.6666666666665,51.333333333333336,0.5773809523809524,0.0,0.0,0.0,0.5773809523809524,0.19642857142857142,0.0,0.0,0.0,0.2261904761904762,1.0,0.0,0.0,0.5773809523809524,1.0,64271.92307692307,63581.28571428572,2237.8928571428573,7.7559523809523805,44.672619047619044,0.9166666666666667,4,4,56
