cost,split,metric,mechanism,policy,rho,families,observations,reference_point,reference_unknown,reference_not_applicable,correct,wrong,wrong_safe,point,unknown,infeasible,not_applicable,correct_coverage,wrong_rate,wrong_safe_rate,unknown_rate,infeasible_rate,reference_coverage,reference_unknown_rate,reference_not_applicable_rate
C1,development,ALL,ALL,dependency_guided,0.35,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,5.0,778.6666666666666,0.0,0.000496031746031746,0.0,0.0,0.005621693121693121,0.9940476190476191,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.4,6,784.0,672.0,112.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,16.666666666666664,767.0,0.0,0.000496031746031746,0.0,0.0,0.0205026455026455,0.9791666666666667,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.45,6,784.0,672.0,112.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,27.666666666666664,755.6666666666666,0.0,0.000992063492063492,0.0,0.0,0.03505291005291005,0.9642857142857142,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.5,6,784.0,672.0,112.0,0.0,2.6666666666666665,0.0,0.0,2.6666666666666665,36.0,745.3333333333333,0.0,0.003968253968253968,0.0,0.0,0.0453042328042328,0.9513888888888888,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.55,6,784.0,672.0,112.0,0.0,4.666666666666666,0.0,0.0,4.666666666666666,46.666666666666664,732.6666666666666,0.0,0.006944444444444444,0.0,0.0,0.05919312169312169,0.9345238095238095,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.6,6,784.0,672.0,112.0,0.0,12.666666666666666,0.0,0.0,12.666666666666666,65.0,706.3333333333334,0.0,0.018849206349206348,0.0,0.0,0.08134920634920635,0.9017857142857143,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.65,6,784.0,672.0,112.0,0.0,22.666666666666664,0.0,0.0,22.666666666666664,69.66666666666667,691.6666666666666,0.0,0.03373015873015873,0.0,0.0,0.08796296296296297,0.8819444444444444,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.7,6,784.0,672.0,112.0,0.0,46.0,0.0,0.0,46.0,115.0,623.0,0.0,0.06845238095238095,0.0,0.0,0.14368386243386244,0.7946428571428571,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.75,6,784.0,672.0,112.0,0.0,57.666666666666664,0.0,0.0,57.666666666666664,113.0,613.3333333333333,0.0,0.08581349206349206,0.0,0.0,0.14037698412698413,0.7827380952380952,0.8888888888888888,0.1111111111111111,0.0
C1,development,ALL,ALL,dependency_guided,0.8,6,784.0,672.0,112.0,0.0,75.33333333333333,0.0,0.0,75.33333333333333,104.66666666666666,604.0,0.0,0.1121031746031746,0.0,0.0,0.12962962962962962,0.7708333333333334,0.8888888888888888,0.1111111111111111,0.0
