slot_id,module,kind,parent_slot,instance,source_variant,repeat,branch,max_requests,activation,status,actor_turn,details,attempts,path
RIR-I1-neutral-R2-not_revoked_control,RIR,suffix,RIR-I1-neutral-R2-P,1,neutral,2,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I1-neutral-R2-not_revoked_control
RIR-I2-target-R1-P,RIR,prefix,,2,target,1,producer,8,rir_module_needed,complete,2,"{""formed"": true}",2,live/units/RIR-I2-target-R1-P
RIR-I2-target-R1-revoked_original,RIR,suffix,RIR-I2-target-R1-P,2,target,1,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-target-R1-revoked_original
RIR-I2-target-R1-revoked_identity,RIR,suffix,RIR-I2-target-R1-P,2,target,1,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-target-R1-revoked_identity
RIR-I2-target-R1-revoked_neutral,RIR,suffix,RIR-I2-target-R1-P,2,target,1,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-target-R1-revoked_neutral
RIR-I2-target-R1-not_revoked_control,RIR,suffix,RIR-I2-target-R1-P,2,target,1,not_revoked_control,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-target-R1-not_revoked_control
RIR-I2-target-R2-P,RIR,prefix,,2,target,2,producer,8,rir_module_needed,complete,2,"{""formed"": true}",2,live/units/RIR-I2-target-R2-P
RIR-I2-target-R2-revoked_original,RIR,suffix,RIR-I2-target-R2-P,2,target,2,revoked_original,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-target-R2-revoked_original
RIR-I2-target-R2-revoked_identity,RIR,suffix,RIR-I2-target-R2-P,2,target,2,revoked_identity,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-target-R2-revoked_identity
RIR-I2-target-R2-revoked_neutral,RIR,suffix,RIR-I2-target-R2-P,2,target,2,revoked_neutral,24,module_needed_and_real_prefix_available_and_intervention_applicable,complete,9,"{""sessions"": {""0"": {""started"": true, ""complete"": true}, ""1"": {""started"": true, ""complete"": true}, ""2"": {""started"": true, ""complete"": true}, ""3"": {""started"": true, ""complete"": true}}}",9,live/units/RIR-I2-target-R2-revoked_neutral
