phase,run_id,artifact_id,depth,expected_depth,match,paths,truncated
f,run-5aa8e59aef5f95dc4ae6a9d0,artifact-edd692fd29ff4122,6,6,True,25,False
f,run-5aa8e59aef5f95dc4ae6a9d0,artifact-8fd8b0e27ea75218,4,4,True,11,False
f,run-3dcc648c47e9ac6f4ac72ff7,artifact-af54288da6680dca,2,2,True,3,False
f,run-3dcc648c47e9ac6f4ac72ff7,artifact-071be009c0f37375,4,4,True,11,False
f,run-3dcc648c47e9ac6f4ac72ff7,artifact-7c3bddb065e9d1f2,6,6,True,25,False
f,run-3dcc648c47e9ac6f4ac72ff7,artifact-b6520632ab17815f,4,4,True,11,False
f,run-5c5e106f23e5a981e269f0f1,artifact-2ef716d5db911040,2,2,True,3,False
f,run-5c5e106f23e5a981e269f0f1,artifact-6f3809145bcc3499,4,4,True,11,False
f,run-5c5e106f23e5a981e269f0f1,artifact-7a01c5044d6cdf7f,6,6,True,25,False
f,run-5c5e106f23e5a981e269f0f1,artifact-3f78f6beee5909ef,4,4,True,11,False
f,run-62145f598e3070cb33d02783,artifact-de42af70d6127391,2,2,True,3,False
f,run-62145f598e3070cb33d02783,artifact-20de05a09ffb1bca,4,4,True,11,False
f,run-62145f598e3070cb33d02783,artifact-deabcc663f01fdc2,6,6,True,25,False
f,run-62145f598e3070cb33d02783,artifact-f3265b2668915a17,4,4,True,11,False
f,run-9b44a88e75482f8d0ef9c2fa,artifact-5a6afe1fd5c47ce4,2,2,True,3,False
f,run-9b44a88e75482f8d0ef9c2fa,artifact-00b1b8597f0ddd1b,4,4,True,11,False
f,run-9b44a88e75482f8d0ef9c2fa,artifact-51672bbd2b96beeb,6,6,True,25,False
f,run-9b44a88e75482f8d0ef9c2fa,artifact-1eeeb01bbbb5fffe,4,4,True,11,False
f,run-c488e906905f00985a62b53a,artifact-2a09937c0ad2ad22,2,2,True,3,False
f,run-c488e906905f00985a62b53a,artifact-371bc6754ae7e7b2,0,0,True,1,False
f,run-c488e906905f00985a62b53a,artifact-91889ca4bc64ce1a,4,4,True,11,False
f,run-c488e906905f00985a62b53a,artifact-01c99c8dfe4e7080,2,2,True,5,False
f,run-c488e906905f00985a62b53a,artifact-e88b4020d28889af,2,2,True,3,False
f,run-7790eecf87ee607b9d5630c5,artifact-4395ccc8665d43fa,2,2,True,3,False
f,run-7790eecf87ee607b9d5630c5,artifact-6a849253c832a441,0,0,True,1,False
f,run-7790eecf87ee607b9d5630c5,artifact-5750b725c0b22224,4,4,True,11,False
f,run-7790eecf87ee607b9d5630c5,artifact-bb17c4faa5b2d403,2,2,True,5,False
f,run-7790eecf87ee607b9d5630c5,artifact-e29a8dc770acf61a,2,2,True,3,False
f,run-591789deeae0443e2d8dc38b,artifact-54d0ad81e5e382fa,2,2,True,3,False
f,run-591789deeae0443e2d8dc38b,artifact-b3855d54b11b5419,0,0,True,1,False
f,run-591789deeae0443e2d8dc38b,artifact-8f45e7c1b58e7f69,4,4,True,11,False
f,run-591789deeae0443e2d8dc38b,artifact-8c4dd2f9c254a5a1,2,2,True,5,False
f,run-591789deeae0443e2d8dc38b,artifact-7cc0e0bfebd9c4a5,2,2,True,3,False
f,run-a415083b8cec2c4c0871ba56,artifact-182d5bfe3e850b62,2,2,True,3,False
f,run-a415083b8cec2c4c0871ba56,artifact-bcb253e0e4c3498c,0,0,True,1,False
f,run-a415083b8cec2c4c0871ba56,artifact-7d66553380820c36,4,4,True,11,False
f,run-a415083b8cec2c4c0871ba56,artifact-f64698b09d15dcf7,2,2,True,5,False
f,run-a415083b8cec2c4c0871ba56,artifact-63968cd38dc044ec,2,2,True,3,False
f,run-69032697d7ba8330508fdf89,artifact-e935d1e24db9121b,2,2,True,3,False
f,run-69032697d7ba8330508fdf89,artifact-192c1e0e7d7f9fc4,0,0,True,1,False
f,run-69032697d7ba8330508fdf89,artifact-95fe8046d78227ed,4,4,True,11,False
f,run-69032697d7ba8330508fdf89,artifact-7aaf9068badb4319,2,2,True,5,False
