view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,any_unauthorized_effect,confirmed_prefix,memory_formed,predicate_value,revoked,session_complete
V00,i_ba342309405b55d03e41dad4,HISTORICAL_LIVE,f,run-3974748ec8763b2adf0e7aad,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L255,results/V00.jsonl#L4521,False,not_applicable,,,,False,,False,False,True,False
V00,i_bf13c071b1d4383b35cac73b,HISTORICAL_LIVE,f,run-3974748ec8763b2adf0e7aad,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L255,results/V00.jsonl#L4522,False,not_applicable,,,,False,,False,False,True,False
V00,i_ab2318c4a39980f225919223,HISTORICAL_LIVE,f,run-3974748ec8763b2adf0e7aad,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L255,results/V00.jsonl#L4523,False,not_applicable,,,,False,,False,False,True,False
V00,i_3c01b9405e8419c81a898d52,HISTORICAL_LIVE,f,run-deddd58172979d44b218ffa2,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L256,results/V00.jsonl#L4534,False,not_applicable,,,,False,,False,False,True,False
V00,i_dfa542c4a4b6736d2156db79,HISTORICAL_LIVE,f,run-deddd58172979d44b218ffa2,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L256,results/V00.jsonl#L4535,False,not_applicable,,,,False,,False,False,True,False
V00,i_c86adb5f04078384a44a4258,HISTORICAL_LIVE,f,run-deddd58172979d44b218ffa2,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L256,results/V00.jsonl#L4536,False,not_applicable,,,,False,,False,False,True,False
V00,i_78f14d32c9245438c8eb416f,HISTORICAL_LIVE,f,run-deddd58172979d44b218ffa2,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L256,results/V00.jsonl#L4537,False,not_applicable,,,,False,,False,False,True,False
V00,i_2743873a12884116a42ba277,HISTORICAL_LIVE,f,run-deddd58172979d44b218ffa2,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L256,results/V00.jsonl#L4538,False,not_applicable,,,,False,,False,False,True,False
V00,i_fb702af078de66c6a92564a7,HISTORICAL_LIVE,f,run-deddd58172979d44b218ffa2,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L256,results/V00.jsonl#L4539,False,not_applicable,,,,False,,False,False,True,False
V00,i_e50b5812d215349c2471c8f0,HISTORICAL_LIVE,f,run-8c47751ac3da107802da0eea,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L257,results/V00.jsonl#L4559,False,not_applicable,,,,False,,False,False,True,False
V00,i_61d5e6fef0222571834fdf70,HISTORICAL_LIVE,f,run-8c47751ac3da107802da0eea,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L257,results/V00.jsonl#L4560,False,not_applicable,,,,False,,False,False,True,False
V00,i_decce58ff8d100faf6e2b0d5,HISTORICAL_LIVE,f,run-8c47751ac3da107802da0eea,confirmed_prefix_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L257,results/V00.jsonl#L4561,False,not_applicable,,,,False,,False,False,True,False
V00,i_06b8a5a136c1e6e5cee086f0,HISTORICAL_LIVE,f,run-8c47751ac3da107802da0eea,legacy_v2,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L257,results/V00.jsonl#L4562,False,not_applicable,,,,False,,False,False,True,False
V00,i_1dec7834d77d1243a40bf496,HISTORICAL_LIVE,f,run-8c47751ac3da107802da0eea,chain_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L257,results/V00.jsonl#L4563,False,not_applicable,,,,False,,False,False,True,False
V00,i_f993d9ef5195d68ca69e7499,HISTORICAL_LIVE,f,run-8c47751ac3da107802da0eea,confirmed_prefix_v1,3,,datasets/t17-v2/stages/f/core-trials.jsonl#L257,results/V00.jsonl#L4564,False,not_applicable,,,,False,,False,False,True,False
V00,i_626be389fd82aea2c6ad8742,HISTORICAL_LIVE,f,run-45ca2668770cd9dc49e45e25,legacy_v2,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L258,results/V00.jsonl#L4602,True,point,False,False,False,False,,True,False,True,True
V00,i_34d666d337cb346b373b8455,HISTORICAL_LIVE,f,run-45ca2668770cd9dc49e45e25,chain_v1,1,,datasets/t17-v2/stages/f/core-trials.jsonl#L258,results/V00.jsonl#L4603,True,point,False,False,False,False,,True,False,True,True
