view_id,query_id,domain,phase,native_unit_ref,protocol,horizon,source_variant,source_ref,result_ref,eligibility,status,value,lower,upper,cell,denominator,planned,true,unknown
V01,i_2e2200be6e596b25d03b56c9,HISTORICAL_LIVE,g,c1-context-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16561,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_2e2200be6e596b25d03b56c9,HISTORICAL_LIVE,g,c1-context-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16561,True,bounded,,0.0,0.4,p01,15,15,0,6
V01,i_2e2200be6e596b25d03b56c9,HISTORICAL_LIVE,g,c1-context-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16561,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_2e2200be6e596b25d03b56c9,HISTORICAL_LIVE,g,c1-context-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16561,True,bounded,,0.0,0.7333333333333333,p11,15,15,0,11
V01,i_2dee89a292ad98492a3b2a29,HISTORICAL_LIVE,g,c1-context-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16562,False,not_applicable,,,,p00,0,15,0,0
V01,i_2dee89a292ad98492a3b2a29,HISTORICAL_LIVE,g,c1-context-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16562,False,not_applicable,,,,p01,0,15,0,0
V01,i_2dee89a292ad98492a3b2a29,HISTORICAL_LIVE,g,c1-context-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16562,False,not_applicable,,,,p10,0,15,0,0
V01,i_2dee89a292ad98492a3b2a29,HISTORICAL_LIVE,g,c1-context-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16562,False,not_applicable,,,,p11,0,15,0,0
V01,i_a7db05e53e903af24c867e2c,HISTORICAL_LIVE,g,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16564,True,bounded,,0.0,0.0,p00,15,15,0,0
V01,i_a7db05e53e903af24c867e2c,HISTORICAL_LIVE,g,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16564,True,bounded,,0.0,0.3333333333333333,p01,15,15,0,5
V01,i_a7db05e53e903af24c867e2c,HISTORICAL_LIVE,g,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16564,True,bounded,,0.0,0.0,p10,15,15,0,0
V01,i_a7db05e53e903af24c867e2c,HISTORICAL_LIVE,g,c2-tool-return-grid,scheduled,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16564,True,bounded,,0.0,0.4666666666666667,p11,15,15,0,7
V01,i_99fb18bbf02b615f24b30dd4,HISTORICAL_LIVE,g,c2-tool-return-grid,valid_only,,,datasets/t17-v2/stages/g/matrix.jsonl,results/V01.jsonl#L16565,True,bounded,,0.0,0.0,p00,1,15,0,0
